Stock Code,Stock name, Price, Compared to the previous day,,fluctuation rate,Volume,sell price,buying price,open price, high price, low price
'088260,이리츠코크렙,5040,▲,50,1,30837,5040,5030,5050,5050,4945
'088350,한화생명,2095,▼,-80,-3.68,1399607,2100,2095,2165,2205,2040
'088790,진도,2540,▼,-110,-4.15,39755,2570,2540,2645,2645,2540
'088980,맥쿼리인프라,10550,▲,50,0.48,542902,10550,10500,10550,10550,10450
'089470,HDC현대EP,3830,▼,-5,-0.13,22735,3830,3825,3930,3930,3805
'089590,제주항공,10050,▼,-300,-2.9,187821,10100,10050,10550,10550,10050
'089860,롯데렌탈,29550,▼,-600,-1.99,40950,29600,29550,30150,30200,29500
'090080,평화산업,1245,▼,-15,-1.19,228820,1245,1240,1260,1265,1225
'090350,노루페인트,7660,▼,-130,-1.67,24323,7700,7660,7760,7810,7660
'090355,노루페인트우,16050, ,0,0,428,16100,16000,16150,16150,15950
'090370,메타랩스,642,▼,-10,-1.53,69739,643,642,643,662,639
'090430,아모레퍼시픽,89700,▼,-6900,-7.14,697499,89700,89600,96900,97700,89600
'090435,아모레퍼시픽우,35550,▼,-1250,-3.4,7992,35700,35550,37200,37200,35500
'091090,세원이앤씨,884,▲,70,8.6,90239115,884,883,819,992,790
'091160,KODEX 반도체,24450,▼,-60,-0.24,165529,24450,24445,24565,24650,24425
'091170,KODEX 은행,5500,▼,-35,-0.63,390059,5510,5500,5530,5590,5500
'091180,KODEX 자동차,15695,▼,-145,-0.92,375565,15695,15685,15885,15885,15620
'091220,TIGER 은행,5760,▼,-10,-0.17,4845,5765,5755,5800,5835,5760
'091230,TIGER 반도체,25315,▼,-175,-0.69,42507,25405,25315,25490,25565,25315
'091810,티웨이항공,1545, ,0,0,133072,1550,1545,1550,1580,1545
'092200,디아이씨,3800,▼,-215,-5.35,279150,3825,3800,3980,4015,3800
'092220,KEC,2605,▼,-45,-1.7,842089,2615,2605,2685,2690,2600
'092230,KPX홀딩스,51900,▼,-100,-0.19,747,51900,51800,52400,52400,51500
'092440,기신정기,3385,▼,-30,-0.88,4350,3385,3380,3410,3420,3370
'092780,동양피스톤,4160,▼,-20,-0.48,42239,4170,4160,4185,4295,4090
'093050,LF,14700,▲,100,0.68,49159,14750,14700,14650,14900,14400
'093230,이아이디,991,▼,-5,-0.5,320771,991,990,997,1005,988
'093240,형지엘리트,1530,▲,170,12.5,11977863,1530,1520,1370,1745,1370
'093370,후성,12000,▼,-250,-2.04,994674,12050,12000,12350,12650,12000
'094280,효성ITX,13150,▲,150,1.15,2606,13150,13100,13150,13200,13000
'095570,AJ네트웍스,5730,▼,-280,-4.66,441363,5750,5730,6020,6110,5680
'095720,웅진씽크빅,2215,▼,-15,-0.67,62583,2220,2215,2265,2270,2200
'096760,JW홀딩스,2760,▼,-65,-2.3,48836,2775,2760,2825,2825,2745
'096770,SK이노베이션,154000, ,0,0,281475,154500,154000,154000,157500,153500
'096775,SK이노베이션우,96200,▲,800,0.84,1509,96200,96100,95800,98600,95600
'097230,HJ중공업,3330,▼,-80,-2.35,641060,3340,3330,3395,4195,3240
'097520,엠씨넥스,27050,▼,-150,-0.55,36027,27100,27050,27200,27200,26700
'097950,CJ제일제당,413500,▲,13000,3.25,52264,413500,413000,397500,416000,397500
'097955,CJ제일제당 우,167000,▲,2000,1.21,1836,167500,167000,166000,169500,164500
'098560,TIGER 방송통신,7635,▼,-15,-0.2,1841,7635,7615,7650,7685,7625
'099140,KODEX 차이나H,13570,▼,-245,-1.77,30041,13570,13565,13815,13925,13555
'100220,비상교육,5880,▼,-20,-0.34,10754,5890,5880,5910,5930,5790
